"feature","factor","stage","mu.star","sigma","n_na"
"size_um","up4.T_bp_solv","up4",11.7191596010973,13.099497020085,0
"skin","up1.v_tip","up1",0.190153291343955,0.0866284135597187,0
"skin","up1.tau_mix","up1",0.00267457153272172,0.00399704365121041,0
"skin","up1.P_mix","up1",0.000683524905476948,0.000814164100364157,0
"skin","up1.T_mix","up1",0.469115473154309,0.231764614616416,0
"skin","up1.C_gas_diss_temp","up1",2.07756211639609e-05,3.62617581209666e-05,0
"skin","up1.Q_gas","up1",0.000626845621879811,0.000889538350461761,0
"skin","up1.Q_colloid","up1",0.0023070484902045,0.00357669866725537,0
"skin","up1.Q_template","up1",0.00314046189210742,0.00506946375244911,0
"skin","up1.C_solid_mass","up1",0.00499562712127861,0.0102502185212787,1
"skin","up1.C_temp_mass","up1",5.21746997457958e-15,1.71025075493156e-14,0
"skin","up1.D_particle","up1",5.21947403936407e-06,1.16307968921034e-05,1
"skin","up1.D_template","up1",0.000717079885091686,0.00104108202064384,1
"skin","up1.C_binder","up1",0.0701441011337548,0.094953955429522,0
"skin","up1.C_monomer","up1",0.0055226854456473,0.00378201627187686,0
"skin","up1.C_plasticizer","up1",0.0242143770904872,0.0491406772076422,0
"skin","up1.C_surfactant","up1",0.0297156881573931,0.0268993605771288,1
"skin","up1.CMC","up1",0.000109399450111107,0.000279376080313381,0
"skin","up1.HLB","up1",0.000681318756232407,0.000836990730263668,1
"skin","up1.MW_surfactant","up1",7.34525546684451e-05,0.000150515323284115,1
"skin","up1.A_molecule","up1",3.29102161482712e-05,7.1937556556937e-05,0
"skin","up1.D_surf","up1",2.70759698007903e-08,6.12613477227223e-08,0
"skin","up1.ionic_strength","up1",0.0162246970148624,0.0150168031828304,1
"skin","up1.Delta_pH","up1",0.0332188373015363,0.0210044587010835,1
"skin","up1.template_dose","up1",0.0064413720831251,0.00905828492293339,0
"skin","up2.K_coal","up2",9.79330327839095e-06,2.89525651181776e-05,0
"skin","up2.K_break","up2",1.10009872699384e-07,3.58231966422716e-07,1
"skin","up2.K_burst","up2",6.6303363353506e-05,0.000191759637826975,0
"skin","up2.d_b_burst","up2",1.5610795377409e-05,5.39150935821546e-05,0
"skin","up2.frac_gas_coarse_ref","up2",0.000625510733377265,0.0012321203763132,1
"skin","up3.rpm","up3",0.000304547280592294,0.000714146215387844,0
"skin","up3.delta_rpm","up3",0.0294881173468728,0.0387095655181283,1
"skin","up3.r_pool","up3",0.0252074116077661,0.0400181219781153,0
"skin","up3.flow_rate_lpm","up3",0.000321382255243395,0.000542485662005906,0
"skin","up3.pop_frac","up3",0.000445236159713431,0.00114694019144081,0
"skin","up3.gas_sat_frac","up3",0.000734168648801413,0.000866722566781443,0
"skin","up3.t_recover_sec","up3",1.6526893207557e-11,5.72411873985894e-11,0
"skin","up3.contact_angle_deg","up3",0.000727420633267718,0.00117269694250666,0
"skin","up3.chi_parameter","up3",0.000651001172665762,0.000860678029557235,1
"skin","up3.S_base","up3",0.127617117380918,0.120597651686989,1
