"output","factor","module","group","mu","mu.star","sigma"
"up2_d_droplet_um","T_mix","up1","Process",-138.781191298954,138.781191298954,179.951661046385
"up2_d_droplet_um","C_gas_diss_temp","up1","Process",-7.59588758395162,8.25320091970986,27.8412706911358
"up2_d_droplet_um","Q_gas","up1","Process",-47.4000547262065,47.4000547262065,67.5408404867796
"up2_d_droplet_um","Q_colloid","up1","Process",113.852753852858,167.027412984159,756.597033426117
"up2_d_droplet_um","Q_template","up1","Process",-91.6711023193961,208.513648065023,579.144128314993
"up2_d_droplet_um","C_solid_mass","up1","Polymer",-28.2419287885116,186.440511290424,380.292068105677
"up2_d_droplet_um","C_temp_mass","up1","Polymer",-3.06935217982603e-10,2.81308505378775e-09,6.15252289164403e-09
"up2_d_droplet_um","D_particle","up1","Polymer",-0.416721684571023,0.456077254712463,0.890680314138246
"up2_d_droplet_um","D_template","up1","Polymer",-0.375099068305009,0.375099068312432,1.08889385172775
"up2_d_droplet_um","C_binder","up1","Polymer",0.0381470892209538,0.038906038137326,0.148290326323212
"up2_d_droplet_um","C_monomer","up1","Polymer",0.362425818340984,0.369280473180724,0.75290703014586
"up2_d_droplet_um","C_plasticizer","up1","Polymer",0.43131734402472,0.586518937712519,1.22931745890154
"up2_d_droplet_um","C_surfactant","up1","Surface",-67.1429976081939,68.5391096130547,200.800414001101
"up2_d_droplet_um","CMC","up1","Surface",3.3358662135374,4.67236816892851,22.2119835063911
"up2_d_droplet_um","HLB","up1","Surface",-0.977118197893008,1.10157422753858,1.94974903782356
"up2_d_droplet_um","MW_surfactant","up1","Surface",49.6870827513339,50.9287660838949,173.543760742379
"up2_d_droplet_um","A_molecule","up1","Surface",-31.2703548378195,31.8268406637683,102.777460507835
"up2_d_droplet_um","D_surf","up1","Surface",-0.00218768974636454,0.00236965629971699,0.00635706589829993
"up2_d_droplet_um","ionic_strength","up1","Surface",-38.1304460747159,47.7431836277335,81.6762582105266
"up2_d_droplet_um","Delta_pH","up1","Surface",43.7272381611316,43.7272381618689,86.4815969920445
"up2_d_droplet_um","template_dose","up1","Polymer",-105.120797163363,108.446045451654,163.202236529253
"up2_d_droplet_um","ALR","up2","Process",-89.461596542561,89.461596542561,81.2887200783248
"up2_d_droplet_um","P_atom_air","up2","Process",-195.901045569177,195.901045569177,151.228194596687
"up2_d_droplet_um","P_feed","up2","Process",-101.1703847452,101.1703847452,243.349190027621
"up2_d_droplet_um","mdot_L","up2","Process",10.239461720812,10.239461720812,10.770764127763
"up2_d_droplet_um","sigma","up2","Surface",-155.056032349886,157.112962771625,323.234706494606
"up2_d_droplet_um","mu_L","up2","Polymer",0,0,0
"up2_d_droplet_um","T_dryer_in","up2","Process",0,0,0
"up2_d_droplet_um","mdot_gas_dry","up2","Process",0,0,0
"up2_d_droplet_um","Y_in","up2","Process",0,0,0
"up2_d_droplet_um","t_hold","up2","Process",0.450669604172712,0.450669604172712,1.36698083446581
"up2_d_droplet_um","D_b","up2","Process",0,0,0
"up2_d_droplet_um","Tg_polymer","up2","Polymer",0,0,0
"up2_d_droplet_um","n_flow","up2","Polymer",1326.61827478859,1326.61827478859,1076.04815592115
"up2_d_droplet_um","k_perm_mono","up2","Polymer",0,0,0
"up2_d_droplet_um","k_perm_plast","up2","Polymer",0,0,0
"up2_d_droplet_um","k_perm_bind","up2","Polymer",0,0,0
"up2_d_droplet_um","T_bp_solv","up2","Polymer",87.4093115545316,87.4093115545316,143.100007919111
"up2_d10_um","v_tip","up1","Process",15.4904383487146,15.5652223221065,33.9446907454989
"up2_d10_um","tau_mix","up1","Process",-34.5914948370385,34.5914948370385,76.6387681213418
"up2_d10_um","P_mix","up1","Process",3.71826520960165,4.10558653503036,11.9947698642756
"up2_d10_um","T_mix","up1","Process",-44.036345369221,44.036345369221,56.9943362370569
"up2_d10_um","C_gas_diss_temp","up1","Process",-2.23234413498274,2.41858751400253,8.53533154222749
"up2_d10_um","Q_gas","up1","Process",-12.755991825063,12.755991825063,17.9211799752383
"up2_d10_um","Q_colloid","up1","Process",27.9796455059792,44.2850824186614,194.697601061567
"up2_d10_um","Q_template","up1","Process",-10.9766457963408,45.9572851103417,111.67894070888
"up2_d10_um","C_solid_mass","up1","Polymer",-17.7073644728083,50.7343584617894,90.7274523557518
"up2_d10_um","C_temp_mass","up1","Polymer",-9.77328736458579e-11,7.588854877838e-10,1.67967508177871e-09
"up2_d10_um","D_particle","up1","Polymer",-0.14687027513578,0.156090477555775,0.339144324410035
"up2_d10_um","D_template","up1","Polymer",-0.107478571525172,0.107478571527376,0.316972765014122
"up2_d10_um","C_binder","up1","Polymer",0.00941790960759799,0.0096365810773358,0.03628418446699
"up2_d10_um","C_monomer","up1","Polymer",0.127813974341003,0.129577661827222,0.289249271839076
"up2_d10_um","C_plasticizer","up1","Polymer",0.136099120540972,0.173438529543438,0.359486690009702
"up2_d10_um","C_surfactant","up1","Surface",-21.2962814413928,21.6225011659447,68.6719943095498
"up2_d10_um","CMC","up1","Surface",0.843222344187588,1.1632810848658,5.5576077555731
"up2_d10_um","HLB","up1","Surface",-0.244642182607944,0.275622283794795,0.464390913995735
"up2_d10_um","MW_surfactant","up1","Surface",16.2364943079686,16.5305476215085,60.4482295144399
"up2_d10_um","A_molecule","up1","Surface",-9.91441801615429,10.0538847758938,33.1803287132779
"up2_d10_um","D_surf","up1","Surface",-0.000650351040148411,0.000701618916517699,0.0019455171594322
"up2_d10_um","ionic_strength","up1","Surface",-9.71752222221806,12.9562276942425,22.8808776057578
"up2_d10_um","Delta_pH","up1","Surface",12.8388420951439,12.8388420953993,28.4039526334794
"up2_d10_um","template_dose","up1","Polymer",-32.5112558145169,33.3195080383489,48.0522044460992
"up2_d10_um","ALR","up2","Process",-26.073443826987,26.073443826987,23.4522170856471
"up2_d10_um","P_atom_air","up2","Process",-60.4452854631297,60.4452854631297,56.2750007763219
"up2_d10_um","P_feed","up2","Process",-26.0062503797233,26.0062503797233,64.0431989665186
"up2_d10_um","mdot_L","up2","Process",3.14411983494467,3.14411983494467,3.68924359023246
"up2_d10_um","sigma","up2","Surface",-35.2554623185223,36.0810029491578,74.0345226624486
"up2_d10_um","mu_L","up2","Polymer",0,0,0
"up2_d10_um","T_dryer_in","up2","Process",0,0,0
