"output","factor","module","group","mu","mu.star","sigma","sigma_mu_ratio","interaction_type"
"up1_Template_Target_Score","chi_template","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","ALR","up2","Process",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","P_atom_air","up2","Process",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","P_feed","up2","Process",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","mdot_L","up2","Process",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","sigma","up2","Surface",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","mu_L","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","T_dryer_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","mdot_gas_dry","up2","Process",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","Y_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","t_hold","up2","Process",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","D_b","up2","Process",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","Tg_polymer","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","n_flow","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","k_perm_mono","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","k_perm_plast","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","k_perm_bind","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","T_bp_solv","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","v_tip","up1","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","tau_mix","up1","Process",0.0420924210360655,0.0420924210360655,0.0606900073136305,1.44182743163265,"Volatile"
"up1_Residual_Template_Fraction","P_mix","up1","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","T_mix","up1","Process",0.0144149553007961,0.0144149553007961,0.0164858061499607,1.14365988696824,"Volatile"
"up1_Residual_Template_Fraction","C_gas_diss_temp","up1","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","Q_gas","up1","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","Q_colloid","up1","Process",0.00644846765875061,0.00644846765875061,0.00999028542968758,1.54924952071842,"Volatile"
"up1_Residual_Template_Fraction","Q_template","up1","Process",-0.011532145380971,0.011532145380971,0.0160240404204638,1.38951078841798,"Volatile"
"up1_Residual_Template_Fraction","C_solid_mass","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","C_temp_mass","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","D_particle","up1","Polymer",-0.0341863638591217,0.0341863638591217,0.061077686307204,1.78660961308721,"Volatile"
"up1_Residual_Template_Fraction","D_template","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","C_binder","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","C_monomer","up1","Polymer",0.00955998760284212,0.00955998760284212,0.0187982733240457,1.96634913192326,"Volatile"
"up1_Residual_Template_Fraction","C_plasticizer","up1","Polymer",0.012743922520039,0.012743922520039,0.0285819908290787,2.24279383244329,"Volatile"
"up1_Residual_Template_Fraction","C_surfactant","up1","Surface",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","CMC","up1","Surface",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","HLB","up1","Surface",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","MW_surfactant","up1","Surface",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","A_molecule","up1","Surface",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","D_surf","up1","Surface",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","ionic_strength","up1","Surface",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","Delta_pH","up1","Surface",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","template_dose","up1","Polymer",0.0935070285895912,0.0935070285895912,0.156110670635532,1.66950734068037,"Volatile"
"up1_Residual_Template_Fraction","chi_template","up1","Polymer",-0.180272294298937,0.180272294298937,0.184274502382331,1.02220090501959,"Volatile"
"up1_Residual_Template_Fraction","ALR","up2","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","P_atom_air","up2","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","P_feed","up2","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","mdot_L","up2","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","sigma","up2","Surface",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","mu_L","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","T_dryer_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","mdot_gas_dry","up2","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","Y_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","t_hold","up2","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","D_b","up2","Process",0,0,0,0,"No_interaction"
"up1_Residual_Template_Fraction","Tg_polymer","up2","Polymer",0,0,0,0,"No_interaction"
