"output","factor","kind","mu","mu.star","sigma"
"up2_solv_retained","k_perm_bind","material:binder perm",0,0,0
"up2_f_burst_solv","C_monomer","dose:monomer",0.0127429875534223,0.0425718945993531,0.0695385425950116
"up2_f_burst_solv","C_plasticizer","dose:plasticizer",-0.026168548561948,0.0622718600540354,0.0975279721434131
"up2_f_burst_solv","C_binder","dose:binder",0.138480803824375,0.138480803824375,0.135937803565857
"up2_f_burst_solv","template_dose","dose:solvent(amount)",0.00617146627482875,0.00760062990106154,0.0097591787001672
"up2_f_burst_solv","T_bp_solv","solvent(bp/type)",-0.278146437278804,0.278146437278804,0.236834537630161
"up2_f_burst_solv","k_perm_mono","material:monomer perm",-0.096314982840608,0.096314982840608,0.12142440563698
"up2_f_burst_solv","k_perm_plast","material:plast perm",-0.146150771661596,0.146150771661596,0.165821659036789
"up2_f_burst_solv","k_perm_bind","material:binder perm",0.120139888270706,0.120139888270706,0.131596163942666
"up2_sigma_y_cake_MPa","C_monomer","dose:monomer",-0.113985232548898,0.113985232548898,0.0463099183647423
"up2_sigma_y_cake_MPa","C_plasticizer","dose:plasticizer",-0.1424371650141,0.1424371650141,0.038523332459522
"up2_sigma_y_cake_MPa","C_binder","dose:binder",-0.0660734487587624,0.0660734487587624,0.0239860439316779
"up2_sigma_y_cake_MPa","template_dose","dose:solvent(amount)",-0.00600687304284695,0.00600687304284695,0.00328380646020108
"up2_sigma_y_cake_MPa","T_bp_solv","solvent(bp/type)",-0.00139424232917394,0.00139424232917394,0.00265768607638356
"up2_sigma_y_cake_MPa","k_perm_mono","material:monomer perm",0,0,0
"up2_sigma_y_cake_MPa","k_perm_plast","material:plast perm",0,0,0
"up2_sigma_y_cake_MPa","k_perm_bind","material:binder perm",0,0,0
