"output","group","factor","mu","mu.star","sigma"
"Cake_d50_um","process","P_feed",0,0,0
"Cake_d50_um","process","gas_sat_frac",0,0,0
"Cake_d50_um","process","D_b",0.000604598470389324,0.000826191528695593,0.00174062860672559
"Cake_d50_um","surface","HLB_value",0.00918829075393717,0.00920577618669019,0.0235876318045001
"Cake_d50_um","surface","surf_dose_kg_m3",0,0,0
"Cake_d50_um","surface","t_recover_sec",3.78478119955616e-09,3.78478119955616e-09,1.89199575006647e-08
"Cake_d50_um","surface","I_strength",0.000645054308821595,0.000649629742164848,0.00180379447846215
"Cake_d50_um","surface","Delta_pH",-0.000940362394759831,0.000950844417818312,0.00411445729587462
"Cake_d50_um","surface","contact_angle_deg",0.0406581697351252,0.0504334537617259,0.129313306714433
"Cake_d50_um","additive","plasticizer_frac",-0.546875708390816,0.546875708390816,0.87943982365793
"Cake_d50_um","additive","C_monomer",0,0,0
"Cake_d50_um","additive","C_binder",-0.000363458980496982,0.000363459056068412,0.00100948283311558
"Cake_d50_um","additive","chi_parameter",0,0,0
"Cake_d50_um","additive","S_base",0,0,0
"Cake_d50_um","additive","S_ceiling",0,0,0
"Wet_Cake_Moisture","process","rpm",0.000391852183762812,0.000391852183762812,0.000650520311655729
"Wet_Cake_Moisture","process","delta_rpm",0.0513543271996026,0.0513543271996026,0.0488013660438305
"Wet_Cake_Moisture","process","r_pool",-0.0656142927693312,0.0656142927693312,0.0728346505049941
"Wet_Cake_Moisture","process","flow_rate_lpm",-4.16543085724549e-05,4.16543085724549e-05,6.65883349707831e-05
"Wet_Cake_Moisture","process","feed_solid_frac",-5.72621161542738e-06,5.72621161542738e-06,1.58473139807902e-05
"Wet_Cake_Moisture","process","feed_gas_frac",-0.00030644847641574,0.00030644847641574,0.000644264398399952
"Wet_Cake_Moisture","process","pop_frac",0.000102539979258376,0.000102539979258376,0.000110360050065201
"Wet_Cake_Moisture","process","T_process",0.00831990086473734,0.0106226214993355,0.0107640531832625
"Wet_Cake_Moisture","process","P_feed",-0.0267729188751534,0.0267729188751534,0.0197145265237221
"Wet_Cake_Moisture","process","gas_sat_frac",-0.0212603947142207,0.0212603947142207,0.0179546829683473
"Wet_Cake_Moisture","process","D_b",2.77829458642705e-05,2.9953134505197e-05,5.26864608231147e-05
"Wet_Cake_Moisture","surface","HLB_value",0.000210345158593221,0.000214685686771125,0.000225667113537622
"Wet_Cake_Moisture","surface","surf_dose_kg_m3",0,0,0
"Wet_Cake_Moisture","surface","t_recover_sec",0,0,0
"Wet_Cake_Moisture","surface","I_strength",-0.00364472346916556,0.0048253478361507,0.00452503487392741
"Wet_Cake_Moisture","surface","Delta_pH",-6.13382904067391e-06,6.13382904067391e-06,9.55239873763552e-06
"Wet_Cake_Moisture","surface","contact_angle_deg",0.000703861883035724,0.000787866854006214,0.00260977306189751
"Wet_Cake_Moisture","additive","plasticizer_frac",0.0803968415033015,0.0803968415033015,0.0244724295795071
"Wet_Cake_Moisture","additive","C_monomer",-0.00178690324086978,0.00178690324086978,0.00186437287699344
"Wet_Cake_Moisture","additive","C_binder",0.105009442027712,0.105009442027712,0.031802733164499
"Wet_Cake_Moisture","additive","chi_parameter",0,0,0
"Wet_Cake_Moisture","additive","S_base",-0.11619483561162,0.11619483561162,0.0374613762229472
"Wet_Cake_Moisture","additive","S_ceiling",-0.0699599241493092,0.0699599241493092,0.0301741900357194
"Gas_Template_Voidage","process","rpm",-0.00064134001393447,0.00064134001393447,0.00111938909443302
"Gas_Template_Voidage","process","delta_rpm",0.00779431936358211,0.00779431936358211,0.0153056176894199
"Gas_Template_Voidage","process","r_pool",-0.0110274258342595,0.0111837700352304,0.0160332668784823
"Gas_Template_Voidage","process","flow_rate_lpm",6.69210199353514e-05,6.69210199353514e-05,0.000107197942784069
"Gas_Template_Voidage","process","feed_solid_frac",1.00357166130669e-05,1.00357166130669e-05,2.80381488029547e-05
"Gas_Template_Voidage","process","feed_gas_frac",0.000506433584547693,0.000506433584547693,0.00103382993017992
"Gas_Template_Voidage","process","pop_frac",-0.000169809619964298,0.000169809619964298,0.000188438285955285
"Gas_Template_Voidage","process","T_process",-0.0129615095763468,0.0169731768612679,0.0172015978700139
"Gas_Template_Voidage","process","P_feed",0.0408339948779824,0.0408339948779824,0.0282397915310751
"Gas_Template_Voidage","process","gas_sat_frac",0.0351738429523973,0.0351738429523973,0.0306565615269969
"Gas_Template_Voidage","process","D_b",-4.68580173995387e-05,5.05607639288897e-05,9.08541820994361e-05
"Gas_Template_Voidage","surface","HLB_value",-0.000338107479255326,0.000344880337010231,0.000359023726495408
"Gas_Template_Voidage","surface","surf_dose_kg_m3",0,0,0
"Gas_Template_Voidage","surface","t_recover_sec",0,0,0
"Gas_Template_Voidage","surface","I_strength",-0.00413227799466946,0.00413227799466946,0.00503881768369023
"Gas_Template_Voidage","surface","Delta_pH",1.02600609029602e-05,1.02600609029602e-05,1.6810229011114e-05
"Gas_Template_Voidage","surface","contact_angle_deg",-0.000999370425277594,0.00112295228951975,0.00342943855106262
"Gas_Template_Voidage","additive","plasticizer_frac",0.00334646600295829,0.00334646600295829,0.00358908132535516
"Gas_Template_Voidage","additive","C_monomer",0.00292716939363853,0.00292716939363853,0.00312420812463597
"Gas_Template_Voidage","additive","C_binder",0.00407325873471584,0.00407325873471584,0.00420204352498262
"Gas_Template_Voidage","additive","chi_parameter",0,0,0
"Gas_Template_Voidage","additive","S_base",-0.00541557582018277,0.00541557582018277,0.00458841212551743
"Gas_Template_Voidage","additive","S_ceiling",-0.00237169332507028,0.00237169332507028,0.00269618566929887
"Entrained_Gas_Holdup","process","rpm",-0.0554341881481949,0.0554341881481949,0.122262185157984
"Entrained_Gas_Holdup","process","delta_rpm",-0.0194396457236031,0.0194396457236031,0.0256411108358766
"Entrained_Gas_Holdup","process","r_pool",0.0184894506975575,0.0188389502807345,0.042256097011078
"Entrained_Gas_Holdup","process","flow_rate_lpm",0.0442505096180443,0.0442505096180443,0.113854676702726
"Entrained_Gas_Holdup","process","feed_solid_frac",-0.181499891861873,0.181499891861873,0.188654634027652
"Entrained_Gas_Holdup","process","feed_gas_frac",0.107932028551788,0.108274922289661,0.10902242871462
"Entrained_Gas_Holdup","process","pop_frac",-0.105235131736875,0.105235131736875,0.122053169264007
"Entrained_Gas_Holdup","process","T_process",-0.0130605302650486,0.0130605302650486,0.0259601160227181
"Entrained_Gas_Holdup","process","P_feed",2.97794196709352e-18,4.45245692167381e-18,1.88259022187747e-17
"Entrained_Gas_Holdup","process","gas_sat_frac",-3.12250225675825e-18,4.97287396446685e-18,1.92491493620909e-17
"Entrained_Gas_Holdup","process","D_b",-0.0265621837070189,0.0276451280790831,0.0674337005391194
